index,size,penalty
116753,50,14183
116753,100,58784
116753,150,135314
116753,200,239689
116753,250,364745
116753,300,582563
116753,350,730439
116753,400,975309
116753,450,1279966
116753,500,1626553
132078,50,8978
132078,100,41347
132078,150,109971
132078,200,202065
132078,250,310942
132078,300,454273
132078,350,623709
132078,400,777583
132078,450,1005904
132078,500,1253056
132202,50,5750
132202,100,58746
132202,150,209362
132202,200,473175
132202,250,970829
132202,300,1656833
132202,350,2632464
132202,400,3980675
132202,450,5804423
132202,500,7374679
132217,50,8114
132217,100,56051
132217,150,204378
132217,200,526945
132217,250,922674
132217,300,1587386
132217,350,2692129
132217,400,3864327
132217,450,5721035
132217,500,7905926
132234,50,3929
132234,100,13944
132234,150,48402
132234,200,75369
132234,250,132791
132234,300,181584
132234,350,255541
132234,400,316157
132234,450,395859
132234,500,503753
132235,50,3064
132235,100,22405
132235,150,45516
132235,200,83164
132235,250,145382
132235,300,198490
132235,350,289506
132235,400,381094
132235,450,471633
132235,500,545956
132250,49,5856
132250,99,61942
132250,149,190981
132250,199,473520
132250,249,977510
132250,299,1541591
132250,349,2764355
132250,399,3866580
132250,449,5878562
132250,499,8152967
132264,50,28078
132264,100,141544
132264,150,332669
132264,200,616651
132264,250,1006384
132264,300,1454114
132264,350,1897965
132264,400,2611505
132264,450,3004316
132264,500,3760736
132275,50,1464
132275,100,6331
132275,150,13784
132275,200,23917
132275,250,40234
132275,300,55983
132275,350,76795
132275,400,102739
132275,450,128597
132275,500,166214
132289,50,648
132289,100,5937
132289,150,20084
132289,200,47444
132289,250,97076
132289,300,156153
132289,350,272315
132289,400,374627
132289,450,602919
132289,500,804017
132311,50,4953
132311,100,23847
132311,150,58084
132311,200,98586
132311,250,166419
132311,300,251210
132311,350,326537
132311,400,435078
132311,450,532269
132311,500,729745
132322,50,13023
132322,100,56769
132322,150,127783
132322,200,243325
132322,250,365608
132322,300,550646
132322,350,759611
132322,400,953108
132322,450,1243933
132322,500,1538857
132324,50,2985
132324,100,11524
132324,150,18938
132324,200,45370
132324,250,47219
132324,300,143482
132324,350,111066
132324,400,160308
132324,450,188127
132324,500,247031
132332,50,958
132332,100,3861
132332,150,10999
132332,200,21295
132332,250,31221
132332,300,44273
132332,350,62874
132332,400,79486
132332,450,102740
132332,500,124019
