index,size,time
132290,50,4900018
132290,100,9800009
132290,150,14700002
132290,200,19600003
132290,250,24500000
132290,300,29400002
132290,350,34300002
132290,400,39200002
132290,450,44100001
132290,500,49000002
132324,50,4900002
132324,100,9800003
132324,150,14700003
132324,200,19600003
132324,250,24500000
132324,300,29400004
132324,350,34300003
132324,400,39200008
132324,450,44100166
132324,500,49000002
132289,50,4900000
132289,100,9800001
132289,150,14700000
132289,200,19600005
132289,250,24500008
132289,300,29400005
132289,350,34300006
132289,400,39200007
132289,450,44100000
132289,500,49000052
132234,50,4900001
132234,100,9800001
132234,150,14700000
132234,200,19600000
132234,250,24500001
132234,300,29400004
132234,350,34300006
132234,400,39200001
132234,450,44100001
132234,500,49000002
132311,50,4900001
132311,100,9800002
132311,150,14700001
132311,200,19600004
132311,250,24500003
132311,300,29400002
132311,350,34300001
132311,400,39200002
132311,450,44100003
132311,500,49000006
132235,50,4900001
132235,100,9800001
132235,150,14700003
132235,200,19600001
132235,250,24500015
132235,300,29400006
132235,350,34300004
132235,400,39200008
132235,450,44100005
132235,500,49000006
132275,50,4900001
132275,100,9800000
132275,150,14700001
132275,200,19600002
132275,250,24500002
132275,300,29400001
132275,350,34300006
132275,400,39200006
132275,450,44100005
132275,500,49000000
132332,50,4900006
132332,100,9800000
132332,150,14700000
132332,200,19600001
132332,250,24500003
132332,300,29400005
132332,350,34300003
132332,400,39200004
132332,450,44100004
132332,500,49000001
132202,50,4900001
132202,100,9800001
132202,150,14700003
132202,200,19600003
132202,250,24500004
132202,300,29400002
132202,350,34300005
132202,400,39200263
132202,450,44100002
132202,500,49000001
132205,50,4900001
132205,100,9800005
132205,150,14700002
132205,200,19600002
132205,250,24500001
132205,300,29400000
132205,350,34300001
132205,400,39200007
132205,450,44100006
132205,500,49000002
132217,50,4900000
132217,100,9800001
132217,150,14700002
132217,200,19600001
132217,250,24500010
132217,300,29400000
132217,350,34300004
132217,400,39200004
132217,450,44100001
132217,500,49000000
132250,50,4900001
132250,100,9800001
132250,150,14700005
132250,200,19600004
132250,250,24500003
132250,300,29400000
132250,350,34300185
132250,400,39200005
132250,450,44100002
132250,500,49000002
132322,50,4900000
132322,100,9800002
132322,150,14700003
132322,200,19600001
132322,250,24500001
132322,300,29400001
132322,350,34300004
132322,400,39200018
132322,450,44100001
132322,500,49000002
132212,50,4900001
132212,100,9800002
132212,150,14700001
132212,200,19600000
132212,250,24500019
132212,300,29400003
132212,350,34300005
132212,400,39200006
132212,450,44100018
132212,500,49000007
116753,50,4900001
116753,100,9800001
116753,150,14700214
116753,200,19600001
116753,250,24500002
116753,300,29400002
116753,350,34300003
116753,400,39200000
116753,450,44100008
116753,500,49000004
132264,50,4900001
132264,100,9800002
132264,150,14700145
132264,200,19600009
132264,250,24500004
132264,300,29400003
132264,350,34300006
132264,400,39200001
132264,450,44100006
132264,500,49000000
132078,50,4900000
132078,100,9800002
132078,150,14700000
132078,200,19600000
132078,250,24500001
132078,300,29400002
132078,350,34300003
132078,400,39200002
132078,450,44100009
132078,500,49000010
